id,name,city,room_type,host_type,badges,price_str,price_eur,rating_str,rating,nb_reviews,is_new_listing,person_capacity,latitude,longitude
RGVtYW5kU3RheUxpc3Rpbmc6MTA2ODY0Mzk5NzQ3ODY1OTMxMw==,Chambre double Paris La Défense 		& petit déjeuner,Nanterre,Chambre,,Annulation gratuite,971 €,971.0,"4,91 (23)",4.91,23.0,False,,48.89516,2.23225
RGVtYW5kU3RheUxpc3Rpbmc6MTYyNDU3NjE4ODE2MjQ2ODgwNA==,Appartement de luxe près de l'Arc de Triomphe,Paris,Appartement,Particulier,Annulation gratuite,1 165 €,1165.0,"5,0 (3)",5.0,3.0,False,,48.88045229345543,2.288731741771998
RGVtYW5kU3RheUxpc3Rpbmc6MTYzMjQyOTEzNTI2MTA0MzE0Ng==,Appartement typique parisien - balcon ensoleillé,Paris,Appartement,Particulier,Annulation gratuite,1 542 €,1542.0,Nouveau,,,True,,48.83824,2.25933
RGVtYW5kU3RheUxpc3Rpbmc6MTQxODA1OTI0NzM2NjE3NTUwNQ==,Petit Paradis Avec Jardin - Proche Paris,Sartrouville,Maison d'hôtes,Particulier,Annulation gratuite,446 €,446.0,"4,96 (81)",4.96,81.0,False,,48.93303545944405,2.171288652081969
RGVtYW5kU3RheUxpc3Rpbmc6MTYyMjQ0Njg4NTQ0NDIxNDMxMQ==,Chambre privée au pied du métro,Saint-Mandé,Hébergement,Professionnel,Annulation gratuite,495 €,495.0,"4,78 (9)",4.78,9.0,False,,48.8461,2.4196
RGVtYW5kU3RheUxpc3Rpbmc6MTY0NDg5NjUxMjcyODc3NTczNw==,Loft Moderne • Courbevoie • Accès Défense Rapide,Courbevoie,Appartement,Professionnel,Annulation gratuite,610 €,610.0,Nouveau,,,True,,48.90207,2.26458
RGVtYW5kU3RheUxpc3Rpbmc6MTQzNTQwNzI1MTU2MTU5Njk1Ng==,Charmant studio calme tout équipé Paris 15,Paris,Appartement,Particulier,Annulation gratuite,694 €,694.0,,,,False,,48.84069,2.29346
RGVtYW5kU3RheUxpc3Rpbmc6OTU1NTI0MjI3NjM0ODg4MTA2,Logement en face de Montparnasse,Paris,Chambre,,Annulation gratuite,,,"4,89 (115)",4.89,115.0,False,,48.8419,2.3252
RGVtYW5kU3RheUxpc3Rpbmc6MTY0MTI5NDEwNTg3NzA5MDg4OQ==,Le Sympa-T1-Métro 7-Proche Paris,Aubervilliers,Appartement,Professionnel,Annulation gratuite,290 €,290.0,"5,0 (3)",5.0,3.0,False,,48.91920430344871,2.396543602337484
RGVtYW5kU3RheUxpc3Rpbmc6MTYwNDQ1MDY0NDkzMzU1MDU2MA==,Studio confortable idéal séjour Paris 11e,Paris,Appartement,Particulier,Annulation gratuite,577 €,577.0,Nouveau,,,True,,48.86652,2.37863
